City_ID,City,Country,Lat,Lng,Humidity,Max Temp,Cloudiness,Wind Speed,Description,Hotel Name
917,Jutai,BR,-5.1833,-68.9,68,82.29,76,3.74,broken clouds,
919,Maumere,ID,-8.6199,122.2111,75,77.38,41,7.67,scattered clouds,Sylvia Hotel
920,Tena,EC,-0.9833,-77.8167,55,84.96,22,3.13,few clouds,Hostal Tena Ñaui
922,Port Moresby,PG,-9.4431,147.1797,94,76.42,90,5.75,overcast clouds,Lamana Hotel (Port Moresby)
924,Banda Aceh,ID,5.5577,95.3222,82,78.82,99,0.98,overcast clouds,Sulthan Hotel International
926,Chardara,KZ,41.2547,67.9692,35,75.85,1,4.45,clear sky,Жанаргул
930,Takoradi,GH,4.8845,-1.7554,88,75.9,7,3.56,clear sky,Raybow International Hotel
931,Mohpa,IN,21.3167,78.8167,88,78.15,58,5.12,broken clouds,Arvind Waghmare
938,Santa Barbara,US,34.7333,-120.0343,47,77.23,1,10.36,clear sky,Upper Ballard Campground
939,Barra Patuca,HN,15.8,-84.2833,72,84.11,77,10.63,broken clouds,
944,Alta Floresta,BR,-9.8756,-56.0861,27,85.37,2,1.3,clear sky,Floresta Amazonica Hotel
